episode: 251 | reward: 7.0 | average reward: 3.402390438247012 | loss: 0.11018772885530956
episode: 252 | reward: 4.0 | average reward: 3.4166666666666665 | loss: 0.1339958850631413
episode: 253 | reward: 5.0 | average reward: 3.41897233201581 | loss: 0.10909590490478815
episode: 254 | reward: 4.0 | average reward: 3.425196850393701 | loss: 0.1125581147306775
episode: 255 | reward: 2.0 | average reward: 3.4274509803921567 | loss: 0.0914477417879721
episode: 256 | reward: 3.0 | average reward: 3.421875 | loss: 0.08094794123213124
episode: 257 | reward: 6.0 | average reward: 3.4202334630350193 | loss: 0.11457597095311346
episode: 258 | reward: 4.0 | average reward: 3.4302325581395348 | loss: 0.10944754987704126
episode: 259 | reward: 6.0 | average reward: 3.4324324324324325 | loss: 0.11487790111557909
episode: 260 | reward: 3.0 | average reward: 3.4423076923076925 | loss: 0.09556692377754859
episode: 261 | reward: 0.0 | average reward: 3.4406130268199235 | loss: 0.10711773539786114
episode: 262 | reward: 2.0 | average reward: 3.427480916030534 | loss: 0.11261592496700956
episode: 263 | reward: 7.0 | average reward: 3.4220532319391634 | loss: 0.12052191283803007
episode: 264 | reward: 4.0 | average reward: 3.4356060606060606 | loss: 0.10408687751325955
episode: 265 | reward: 4.0 | average reward: 3.4377358490566037 | loss: 0.11208892508541018
episode: 266 | reward: 7.0 | average reward: 3.4398496240601504 | loss: 0.10209838041742367
episode: 267 | reward: 2.0 | average reward: 3.453183520599251 | loss: 0.11896005622131726
episode: 268 | reward: 0.0 | average reward: 3.4477611940298507 | loss: 0.09354846794611549
episode: 269 | reward: 0.0 | average reward: 3.4349442379182156 | loss: 0.097243427779194
episode: 270 | reward: 3.0 | average reward: 3.422222222222222 | loss: 0.08222990298986822
episode: 271 | reward: 5.0 | average reward: 3.4206642066420665 | loss: 0.08610997380016522
episode: 272 | reward: 2.0 | average reward: 3.426470588235294 | loss: 0.12733903573434324
episode: 273 | reward: 2.0 | average reward: 3.421245421245421 | loss: 0.11742542912529574
episode: 274 | reward: 0.0 | average reward: 3.4160583941605838 | loss: 0.1146253739910798
episode: 275 | reward: 7.0 | average reward: 3.403636363636364 | loss: 0.10958863863915763
episode: 276 | reward: 7.0 | average reward: 3.4166666666666665 | loss: 0.09552961577174314
episode: 277 | reward: 4.0 | average reward: 3.4296028880866425 | loss: 0.10921384885954344
episode: 278 | reward: 2.0 | average reward: 3.431654676258993 | loss: 0.13231856062355163
episode: 279 | reward: 1.0 | average reward: 3.4265232974910393 | loss: 0.12840921291960317
episode: 280 | reward: 3.0 | average reward: 3.4178571428571427 | loss: 0.09744137890779149
episode: 281 | reward: 7.0 | average reward: 3.416370106761566 | loss: 0.10375693537127412
episode: 282 | reward: 1.0 | average reward: 3.4290780141843973 | loss: 0.09842548624675362
episode: 283 | reward: 0.0 | average reward: 3.420494699646643 | loss: 0.08756540233840611
episode: 284 | reward: 3.0 | average reward: 3.408450704225352 | loss: 0.08107666055056577
